Synthesis Results,,,,,,,,,,,,,,,,,,,,,,
All are 16 x 16 multipliers,,,,,,,,,,,,,,,,,,,,,,
Target FPGA : EP2C35F672C7,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Adder Used : Ripple Carry Adder (RCA),,,,,,,,,,,,,,,,,,,,,,
Pipelining Standards : I/P Register + Every 2 Stage Registers + O/P Register,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Metric,Why it matters?,Wallace,Dadda,Custom Greedy,Row Adder,Array Carry Save,Linear Vector Carry Save,Tree Vector Carry Save,Vedic,Braun,Booth Wallace,,,Booth Dadda,,,Baugh-Wooley,,Wallace (with KSA),,,
,,,,,,,,,,,Radix2,Radix4,Radix8,Radix2,Radix4,Radix8,Wallace,Dadda,,,,
Dynamic Thermal Power (mW),Switching Power,18.53,16.69,20.57,16.8,18.02,19,16.97,18.57,18.28,20.85,19,17.74,17.61,19.15,18.5,20.22,18.64,16.4,19.42,17.95,
I/O Thermal Power (mW),Same across the same board so can be ignored,92.83,90.61,92.83,88.91,92.83,92.83,87.98,91.61,92.57,92.6,92.83,90.23,92.58,92.83,92.83,91.59,92.09,92.14,92.83,89.8,
Total Thermal Power,Total Power,191.55,187.47,193.59,185.89,191.03,192.03,185.12,190.37,191.05,193.65,192.03,188.15,190.37,192.17,191.52,192.01,190.93,188.73,192.44,187.93,
Resource Utilization (%),FPGA occupancy,2%,2%,3%,2%,2%,2%,2%,2%,2%,2%,2%,3%,3%,3%,2%,3%,2%,2%,3%,2%,
Signed,To know what sort of operations it can perform,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,
Area Delay Product (ADP) (LE.ns),LE x Delay,7974.06,4499.22,4649.5,4486.59,4483.85,4817.79,5852.88,11330.04,4169.28,4506.13,4817.79,4988.04,4628.4,4649.5,4554,5679.26,4888,4964.18,4798.67,7711.44,
Power Delay Product (PDP) (nJ),Dynamic Power x Delay,0.193,0.094,0.113,0.096,0.100,0.113,0.125,0.267,0.094,0.116,0.113,0.105,0.097,0.105,0.102,0.130,0.114,0.103,0.105,0.182,
Energy Delay Product (EDP) (nJ.ns),Dynamic Power x Delay²,2.01,0.53,0.62,0.55,0.56,0.68,0.93,3.83,0.49,0.65,0.68,0.62,0.53,0.57,0.56,0.83,0.70,0.64,0.57,1.85,
Fan-Out Vector,,,,,,,,,,,,,"1, 1, 2, 4, 4, 4, 4, 4","1, 1, 2, 2, 2, 2, 2, 2","1, 1, 1, 1, 1, 1, 1, 1","1, 2, 4, 8, 16, 32, 64, 128",,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
All are 16 x 16 multipliers,,,,,,,,,,,,,,,,,,,,,,
Target FPGA : EP2C35F672C7,,,,,,,,,,,,,,,,,,,,,,
Adder Used : Ripple Carry Adder (RCA),,,,,,,,,,,,,,,,,,,,,,
Pipelining Standards : No Pipelining (I/P Register + O/P Register),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Metric,Why it matters?,Wallace,Dadda,Custom Greedy,Row Adder,Carry Save,Vedic,Braun,Booth Wallace,,,Booth Dadda,,,Baugh-Wooley,,,,,,,
,,,,,,,,,Radix2,Radix4,Radix8,Radix2,Radix4,Radix8,Wallace,Dadda,,,,,,
Logic Elements / LUTs,Overall FPGA Area,650,633,658,809,697,866,498,984,643,739,941,616,726,769,720,,,,,,
Combinational Functions,Shows actual combinational logic used,648,630,657,806,696,863,496,981,641,739,940,616,726,768,719,,,,,,
Dedicated Logic Registers,Sequential hardware used (mostly wrapper FFs),64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,,,,,,
Total Pins,"Mostly constant, useful to verify interfaces",65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,,,,,,
